"eig.1","eig.2","eig.3","eig.4","eig.5"
-0.049713431999391,0.0676939406340451,-0.0515218069354494,0.0198451919734401,-0.00108149035114082
-0.0535409250997679,-0.107500653511575,0.00403132031170853,-0.0385758169869011,-0.0219334847636293
0.0783537022733168,0.0603329805928471,-0.0217650352750742,0.12046345479518,-0.0117127609578942
0.0767174320694962,0.080005070974805,-0.00768963697504765,-0.0740214007875723,-0.0117112213130567
0.0214647806564473,-0.04945008578458,-0.0061665083984193,0.0207114837289658,0.00443733115164942
0.00634375543859053,-0.0584872174208081,-0.0334893550217609,0.0144031271368902,-0.0325381574592084
-0.12297601130583,0.0683305971562111,0.077828715757656,-0.00670645541046043,0.0511411969486291
-0.0990942101748469,0.129162602056699,-0.0774560752575169,-0.0740386776958622,-0.0313097698568493
0.0356380266001027,-0.0214481133906338,-0.0229293561106241,0.0189338988538823,-0.0447926528821082
-0.0281606782217785,0.0427337130882696,-0.00736540780977181,0.0354343652653892,-0.00920017189091256
0.0411358892108701,-0.0397280191933446,0.00481450546661432,0.00749440125379799,0.013444375084218
0.0168468685000754,-0.048872498815587,-0.0139981735641464,-0.0341673077126367,-0.0129986350100079
0.0387094853626104,-0.012866119511419,-0.02032841723896,0.00822770218363733,-0.00191906465737068
0.142977052685938,0.019331348417906,-0.0836032818590689,0.00644159478367768,0.0544704087850291
-0.0359887800732268,0.0418830757852918,-0.00240580934158737,0.0410486800174554,-0.0790470196067197
-0.0544151113912324,-0.0374800191881535,-0.0642453061214432,0.0165909257888225,-0.0700229630549316
0.0857237379369989,0.0022558560418466,0.140197410067917,0.0173353887207224,-0.0580112752785008
-0.0349436849423966,-0.0606412956863755,0.0187845577127538,-0.0357723271137548,0.023498427673345
0,0,0,0,0
0.104852370831788,0.0310933776470794,-0.030115604985663,-0.00859200803012458,-0.0386285769590461
0.128477795691197,-0.0562847845352592,0.0384709317553035,-0.0036472241989375,0.0292131373118445
0.0874607192153748,0.0978992737086384,0.0677502448027044,-0.0570882356438481,0.0100374333022495
-0.0759920437784412,-0.0184711022390665,-0.00473157919960104,0.0425552701022392,0.0248523220829782
0.0284266152727381,-0.0220520510767575,-0.0219821571686885,0.0268546900587114,-0.00720877870796719
-0.00655756475377679,0.147504294818489,0.0300835755934244,0.0477587340815427,-0.00826375139593372
0,0,0,0,0
0.118601354088268,0.0115392768687828,-0.0101009098237254,0.0525230311648796,0.0188519795918965
0.00919119642444708,-0.0105312849025164,0.00974502884675224,-0.00124860027493358,-0.0287063290929679
0.0529284334826328,0.0274652104502568,-0.0630949098986114,-0.00556599413135682,0.0707781491543189
-0.0925098454594949,-0.0565372408528755,0.00413206196952937,0.00569019980960737,0.0289487181268492
-0.13176199476082,0.0121781052587811,0.0188558106123618,0.0659330897790659,0.04692656836377
0,0,0,0,0
-0.0162061770876611,0.00357184238261304,0.0146000429475706,0.00894335179420941,-0.00627309558178059
